Station_Name,F1,TFR,FFR,MFR,FRI,Count,lat,lon,height
0OST,0.7089997612795418,0.8427922814982974,0.19789915966386554,0.15720771850170262,0.18690585709904936,6522,63.442796397,14.858074331000012,490.2414852
0PAU,0.7123015873015873,0.8703030303030304,0.19417077175697867,0.1296969696969697,0.17785955228457528,6522,57.466411706,15.510574716000008,200.2046543
0REJ,0.7469238443631527,0.9197379197379197,0.17521141649048627,0.08026208026208026,0.15204795204795205,5005,58.825421525,15.930156338000018,94.0289042
0REN,0.6515353805073432,0.7360482654600302,0.12141357592722184,0.26395173453996984,0.14825333712013633,3521,61.364766114,16.617282551000017,121.0651153
0RIN,0.7224967490247075,0.8692115143929913,0.17424857839155158,0.13078848560700876,0.1636001226617602,6522,58.334613202,16.44899714500002,85.7563289
0RYF,0.7484378616061097,0.9094488188976378,0.19519392917369308,0.09055118110236221,0.16666666666666666,6522,56.563161223,13.932192457999976,173.7428901
0SBY,0.6280357903706859,0.8045851528384279,0.26641074856046065,0.19541484716157206,0.24794092587333144,3521,56.631008268,16.51285846600001,82.2823366
0SJN,0.728695166247555,0.8751677852348994,0.15600158982511925,0.12483221476510067,0.14888071143820913,6522,65.346163689,21.241888972000027,49.2646181
0SKO,0.6818538884524745,0.868,0.2025089605734767,0.132,0.18629254829806807,6522,63.378212639,17.883639769000013,199.7678766
0SLU,0.5375722543352601,0.775,0.29555555555555557,0.225,0.2807017543859649,570,65.431554837,16.24543414300001,408.9446928
0STJ,0.7619298708146586,0.8919753086419753,0.14924149241492415,0.10802469135802469,0.13896583564173592,6498,58.730062236,16.41070794000001,114.9836139
0STN,0.7204419889502762,0.8907103825136612,0.18112244897959184,0.1092896174863388,0.16407263294422827,4626,59.375643878,17.021522290999997,54.603942
0STS,0.7191065792668124,0.8506605399195865,0.1885642211477822,0.14933946008041354,0.17805478608802708,6498,63.85239687,15.56121643900002,339.8264578
0SVS,0.7149829184968277,0.8582308142940832,0.19231568016614745,0.14176918570591682,0.17908616988653786,6522,56.261570784,14.769500187999997,103.2915925
0SYS,0.7150979153506002,0.8614916286149162,0.23731048121292023,0.1385083713850837,0.20745170193192272,6522,60.710314313,12.885723534000022,197.7714401
0TAV,0.7103315976979995,0.8828337874659401,0.17510882469331224,0.11716621253405994,0.16206685065930695,6522,64.037357467,20.046157058999995,162.87982
0TOC,0.7193486590038315,0.8582857142857143,0.1946082561078349,0.1417142857142857,0.18036318867343798,6498,59.508379434,11.833527064999998,171.0758713
0UME,0.6612641815235007,0.8464730290456431,0.2042755344418052,0.15352697095435686,0.19298245614035087,6498,63.578141405,19.50960355699999,54.7586086
0UPV,0.716821639898563,0.8760330578512396,0.1634958382877527,0.12396694214876033,0.15466297322253,6498,59.522507465,17.90948365600002,46.8058958
0VAN,0.7359685520856082,0.9083557951482479,0.22262695521748446,0.09164420485175202,0.18537258509659613,6522,58.693129937,12.035008634000008,169.8018553
